,,,
NO,Komoditas (Rp),Cabai Rawit,Cabai Rawit Hijau
1,27/11/2023,"87,500","68,350"
2,28/11/2023,"87,500","68,350"
3,29/11/2023,"87,500","68,350"
4,30/11/2023,"87,500","68,350"
5,01/12/2023,"90,000","70,000"
6,04/12/2023,"91,650","71,650"
7,05/12/2023,"91,650","71,650"
8,06/12/2023,"90,000","68,350"
9,07/12/2023,"90,000","68,350"
10,08/12/2023,"90,850","68,350"
11,11/12/2023,"89,150","65,000"
12,12/12/2023,"89,150","65,000"
13,13/12/2023,"89,150","65,000"
14,14/12/2023,"89,150","65,000"
15,15/12/2023,"85,000","61,650"
16,18/12/2023,"77,900","56,650"
17,19/12/2023,"77,900","56,650"
18,20/12/2023,"77,100","56,650"
19,21/12/2023,"76,250","56,650"
20,22/12/2023,"75,400","55,000"
21,25/12/2023,-,-
22,26/12/2023,-,-
23,27/12/2023,"72,900","51,650"
24,28/12/2023,"72,500","51,650"
25,29/12/2023,"72,500","51,650"
26,01/01/2024,-,-
27,02/01/2024,"75,850","50,000"
28,03/01/2024,"74,150","48,350"
29,04/01/2024,"74,150","48,350"
30,05/01/2024,"72,100","48,350"
31,08/01/2024,"60,400","44,150"
32,09/01/2024,"60,400","44,150"
33,10/01/2024,"60,400","44,150"
34,11/01/2024,"60,400","44,150"
35,12/01/2024,"57,500","45,000"
36,15/01/2024,"55,250","42,150"
37,16/01/2024,"55,250","42,150"
38,17/01/2024,"53,600","42,150"
39,18/01/2024,"53,600","42,150"
40,19/01/2024,"50,850","42,500"
41,22/01/2024,"50,000","44,150"
42,23/01/2024,"52,500","47,500"
43,24/01/2024,"51,650","47,500"
44,25/01/2024,"51,650","47,500"
45,26/01/2024,"50,850","47,500"
46,29/01/2024,"51,250","49,150"
47,30/01/2024,"51,250","49,150"
48,31/01/2024,"52,900","49,150"
49,01/02/2024,"52,900","49,150"
50,02/02/2024,"52,900","49,150"
51,05/02/2024,"50,850","47,500"
52,06/02/2024,"50,850","47,500"
53,07/02/2024,"50,850","47,500"
54,08/02/2024,"57,900","47,500"
55,09/02/2024,-,-
56,12/02/2024,"50,850","47,500"
57,13/02/2024,"50,850","47,500"
58,14/02/2024,"57,900","47,500"
59,15/02/2024,"62,100","49,150"
60,16/02/2024,"65,400","49,150"
61,19/02/2024,"70,000","57,500"
62,20/02/2024,"68,750","54,150"
63,21/02/2024,"68,750","54,150"
64,22/02/2024,"71,650","57,500"
65,23/02/2024,"71,650","57,500"
66,26/02/2024,"71,650","55,000"
67,27/02/2024,"71,650","55,000"
68,28/02/2024,"71,650","55,000"
69,29/02/2024,"70,400","53,350"
70,01/03/2024,"69,600","53,350"
71,04/03/2024,"71,250","58,350"
72,05/03/2024,"69,600","56,650"
73,06/03/2024,"68,750","56,650"
74,07/03/2024,"68,750","56,650"
75,08/03/2024,"68,750","56,650"
76,11/03/2024,"68,750","56,650"
77,12/03/2024,"68,750","56,650"
78,13/03/2024,"67,500","60,850"
79,14/03/2024,"68,350","62,500"
80,15/03/2024,"73,750","67,500"
81,18/03/2024,"65,850","64,150"
82,19/03/2024,"65,850","62,500"
83,20/03/2024,"65,850","62,500"
84,21/03/2024,"63,350","60,850"
85,22/03/2024,"61,650","60,000"
86,25/03/2024,"52,500","54,150"
87,26/03/2024,"52,500","54,150"
88,27/03/2024,"53,350","54,150"
89,28/03/2024,"53,350","54,150"
90,29/03/2024,"53,350","54,150"
91,01/04/2024,"51,250","51,650"
92,02/04/2024,"51,250","51,650"
93,03/04/2024,"51,250","51,650"
94,04/04/2024,"50,400","50,850"
95,05/04/2024,"50,400","50,850"
96,08/04/2024,"50,400","50,850"
97,09/04/2024,"50,400","50,850"
98,10/04/2024,"50,400","50,850"
99,11/04/2024,"50,400","50,850"
100,12/04/2024,"50,400","50,850"
101,15/04/2024,"50,400","50,850"
102,16/04/2024,"44,600","41,650"
103,17/04/2024,"44,600","41,650"
104,18/04/2024,"44,600","41,650"
105,19/04/2024,"44,600","41,650"
106,22/04/2024,"45,000","40,000"
107,23/04/2024,"44,150","40,000"
108,24/04/2024,"44,150","40,000"
109,25/04/2024,"45,000","41,650"
110,26/04/2024,"45,000","41,650"
111,29/04/2024,"50,850","48,350"
112,30/04/2024,"50,850","48,350"
113,01/05/2024,"50,850","48,350"
114,02/05/2024,"50,850","48,350"
115,03/05/2024,"52,500","50,000"
116,06/05/2024,"48,750","52,500"
117,07/05/2024,"48,350","50,000"
118,08/05/2024,"48,750","51,650"
119,09/05/2024,"48,750","51,650"
120,10/05/2024,"48,750","51,650"
121,13/05/2024,"45,850","46,650"
122,14/05/2024,"45,850","46,650"
123,15/05/2024,"45,850","46,650"
124,16/05/2024,"45,850","46,650"
125,17/05/2024,"47,500","50,000"
126,20/05/2024,"46,250","47,500"
127,21/05/2024,"46,250","47,500"
128,22/05/2024,"46,250","47,500"
129,23/05/2024,"46,250","47,500"
130,24/05/2024,"46,250","47,500"
131,27/05/2024,"45,400","47,500"
132,28/05/2024,"45,400","47,500"
133,29/05/2024,"43,750","45,000"
134,30/05/2024,"45,400","46,650"
135,31/05/2024,"45,400","46,650"
136,03/06/2024,"46,650","46,650"
137,04/06/2024,"46,650","46,650"
138,05/06/2024,"46,650","46,650"
139,06/06/2024,"46,650","46,650"
140,07/06/2024,"45,850","45,000"
141,10/06/2024,"55,000","52,500"
142,11/06/2024,"55,000","52,500"
143,12/06/2024,"55,000","52,500"
144,13/06/2024,"55,400","52,500"
145,14/06/2024,"55,400","52,500"
146,17/06/2024,"55,400","52,500"
147,18/06/2024,"55,400","52,500"
148,19/06/2024,"56,650","62,500"
149,20/06/2024,"57,100","63,350"
150,21/06/2024,"57,100","63,350"
151,24/06/2024,"47,100","52,500"
152,25/06/2024,-,-
